Model;Decoration;K;Llk;AIC;BIC
JTT;+G+F;29;-2435,44047;4928,88094;5051,16251
JTT;+G+I+F;30;-2435,34756;4930,69512;5057,19330
JTT;+G;10;-2458,12122;4936,24244;4978,40850
JTT;+G+I;11;-2458,05579;4938,11158;4984,49424
HIVb;+G+F;29;-2442,51745;4943,03490;5065,31647
Dayhoff;+G+F;29;-2443,46442;4944,92884;5067,21041
DCMut;+G+F;29;-2443,89171;4945,78342;5068,06499
LG;+G+F;29;-2445,27476;4948,54952;5070,83109
CpREV;+G+F;29;-2446,75630;4951,51260;5073,79417
WAG;+G+F;29;-2446,53800;4951,07600;5073,35757
LG;+G;10;-2466,08625;4952,17250;4994,33856
LG;+G+I;11;-2465,99759;4953,99518;5000,37784
RtREV;+G+F;29;-2448,00204;4954,00408;5076,28565
Flu;+G+F;29;-2448,73777;4955,47554;5077,75711
VT;+G+F;29;-2452,79272;4963,58544;5085,86701
WAG;+G;10;-2472,69843;4965,39686;5007,56292
MtZoa;+G+F;29;-2454,66772;4967,33544;5089,61701
VT;+G;10;-2475,30401;4970,60802;5012,77408
CpREV;+G;10;-2476,02466;4972,04932;5014,21538
MtREV;+G+F;29;-2459,57465;4977,14930;5099,43087
Blosum62;+G;10;-2484,48387;4988,96774;5031,13380
Blosum62;+G+F;29;-2468,26672;4994,53344;5116,81501
Dayhoff;+G;10;-2489,48087;4998,96174;5041,12780
DCMut;+G;10;-2489,83773;4999,67546;5041,84152
HIVb;+G;10;-2489,67460;4999,34920;5041,51526
HIVw;+G+F;29;-2471,81625;5001,63250;5123,91407
MtArt;+G+F;29;-2472,21834;5002,43668;5124,71825
MtMam;+G+F;29;-2474,14899;5006,29798;5128,57955
Flu;+G;10;-2496,22154;5012,44308;5054,60914
AB;+G+F;29;-2479,48332;5016,96664;5139,24821
RtREV;+G;10;-2501,36167;5022,72334;5064,88940
MtZoa;+G;10;-2512,42843;5044,85686;5087,02292
MtREV;+G;10;-2541,96879;5103,93758;5146,10364
MtArt;+G;10;-2549,84439;5119,68878;5161,85484
MtMam;+G;10;-2555,27860;5130,55720;5172,72326
HIVw;+G;10;-2562,44560;5144,89120;5187,05726
AB;+G;10;-2564,12608;5148,25216;5190,41822
